-9,-7,-5,-3,-1,1,3,5,7,9,date,11
800,96749.67,280350,527600.33,112450,0,0,0,0,0,2009/7/30,0
850,93849.67,278400,527800.33,117900,0,0,0,0,0,2009/7/31,0
1400,90699.67,275750,528100.33,124250,0,0,0,0,0,2009/8/1,0
1150,88449.67,274300,527650.33,129800,0,0,0,0,0,2009/8/2,0
600,85499.67,270850,529250.33,135750,0,0,0,0,0,2009/8/3,0
4050,82449.67,267450,529300.37,142749.96,0,0,0,0,0,2009/8/4,0
4350,82449.67,264950,530200.37,148399.96,0,0,0,0,0,2009/8/5,0
4500,83449.67,262200,530200.37,154499.96,0,0,0,0,0,2009/8/6,0
9549.53,79250.14,260050,529550.37,160449.96,0,0,0,0,0,2009/8/7,0
4000,84899.67,260200,526250.37,167499.96,0,0,0,0,0,2009/8/8,0
5050,85099.67,259850,523200.37,174699.96,0,0,0,0,0,2009/8/9,0
3750,86349.67,257550,520600.37,183399.96,0,0,0,0,0,2009/8/10,0
3500,86399.67,254750,521200.37,189299.96,0,0,0,0,0,2009/8/11,0
3150,86349.67,252748.99,519901.34,196150,0,0,0,0,0,2009/8/12,0
4250,86249.67,248998.99,521201.34,201850,0,0,0,0,0,2009/8/13,0
3150,88499.67,244148.99,522201.34,207700,0,0,0,0,0,2009/8/14,0
1300,88399.67,241698.99,521551.34,214050,0,0,0,0,0,2009/8/15,0
950,87599.67,237648.99,521151.34,220600,0,0,0,0,0,2009/8/16,0
850,88349.67,232098.99,519701.34,227800,0,0,0,0,0,2009/8/17,0
500,86049.67,231148.99,518301.34,233300,0,0,0,0,0,2009/8/18,0
900,77299.53,234899.13,518101.34,239000,0,0,0,0,0,2009/8/19,0
1100,74249.53,234949.13,515401.34,245600,0,0,0,0,0,2009/8/20,0
700,72349.53,235049.13,512551.34,251350,0,0,0,0,0,2009/8/21,0
350,69549.53,236999.13,508651.34,256800,0,0,0,0,0,2009/8/22,0
750,66449.53,235699.13,507401.34,262800,0,0,0,0,0,2009/8/23,0
750,65799.53,231849.13,507751.34,267700,0,0,0,0,0,2009/8/24,0
2500,65899.53,226499.13,508601.34,272850,0,0,0,0,0,2009/8/25,0
4699.53,62650,224199.13,509351.34,277850,0,0,0,0,0,2009/8/26,0
1450,65699.53,221199.13,508851.34,283000,0,0,0,0,0,2009/8/27,0
3750,66299.53,213999.13,509701.34,290200,0,0,0,0,0,2009/8/28,0
3900,69449.53,209549.13,509551.34,295400,0,0,0,0,0,2009/8/29,0
4850,72649.53,205749.13,509301.34,300150,0,0,0,0,0,2009/8/30,0
4600,76249.53,203449.12,507601.35,305100,0,0,0,0,0,2009/8/31,0
3900,80099.53,198649.12,508051.35,310200,0,0,0,0,0,2009/9/1,0
3300,83649.53,195449.12,505701.02,316100.33,0,0,0,0,0,2009/9/2,0
3750,82449.53,195949.12,503651.02,321450.33,0,0,0,0,0,2009/9/3,0
3200,82199.53,198449.12,500151.02,326450.33,0,0,0,0,0,2009/9/4,0
3800,81349.53,201099.12,496751.02,331250.33,0,0,0,0,0,2009/9/5,0
3400,76199.53,209249.12,491101.02,337700.33,0,0,0,0,0,2009/9/6,0
4550,75199.53,208899.12,490401.02,342500.33,0,0,0,0,0,2009/9/7,0
3450,75149.53,209199.12,489801.02,347400.33,0,0,0,0,0,2009/9/8,0
2700,75199.53,208699.12,488351.02,352750.33,0,0,0,0,0,2009/9/9,0
3350,74399.53,208049.12,486951.02,358300.33,0,0,0,0,0,2009/9/10,0
3350,74649.53,207049.12,484901.02,364450.33,0,0,0,0,0,2009/9/11,0
3450,74099.53,207199.12,483201.02,369900.33,0,0,0,0,0,2009/9/12,0
3750,74449.53,206899.12,480651.02,375850.33,0,0,0,0,0,2009/9/13,0
3700,76899.53,204249.12,476401.02,384050.33,0,0,0,0,0,2009/9/14,0
2200,79649.53,201649.12,474651.02,389350.33,0,0,0,0,0,2009/9/15,0
3601,80998.53,198549.12,472501.02,395450.33,0,0,0,0,0,2009/9/16,0
9250,79049.53,195099.12,470751.02,401150.33,0,0,0,0,0,2009/9/17,0
3900,87399.53,191899.12,468751.02,407250.33,0,0,0,0,0,2009/9/18,0
3700,90199.53,189299.12,470501.02,409200.33,0,0,0,0,0,2009/9/19,0
3900,93199.53,185949.12,468651.02,415100.33,0,0,0,0,0,2009/9/20,0
3850,96349.53,179599.12,469101.02,421350.33,0,0,0,0,0,2009/9/21,0
3250,97449.53,176849.12,467651.02,426300.33,0,0,0,0,0,2009/9/22,0
1800,99949.53,172950.14,466950,431650.33,0,0,0,0,0,2009/9/23,0
4850,99249.53,171300.14,464150,438600.33,0,0,0,0,0,2009/9/24,0
5850,98101,171748.67,463650,443350.33,0,0,0,0,0,2009/9/25,0
5000,102701,169248.67,460950,449800.33,0,0,0,0,0,2009/9/26,0
5150,103651,170373.67,457625,455250.33,0,0,0,0,0,2009/9/27,0
4250,105251,170293.67,456005,460500.33,0,0,0,0,0,2009/9/28,0
6550,103651,170248.67,453000,467250.33,0,0,0,0,0,2009/9/29,0
4250,106201,170598.67,451300,472600.33,0,0,0,0,0,2009/9/30,0
4100,106901,170198.67,449900,477950.33,0,0,0,0,0,2009/10/1,0
4100,107501,169548.67,448250,483250.33,0,0,0,0,0,2009/10/2,0
2900,108051,169048.67,447100,488450.33,0,0,0,0,0,2009/10/3,0
2650,108301,168048.67,444000,495200.33,0,0,0,0,0,2009/10/4,0
2750,107751,167198.67,442950,500300.33,0,0,0,0,0,2009/10/5,0
2850,106501,167148.67,441550,505050.33,0,0,0,0,0,2009/10/6,0
3000,105251,167798.67,440050,510000.33,0,0,0,0,0,2009/10/7,0
3500,105251,166898.67,439400,514550.33,0,0,0,0,0,2009/10/8,0
3950,106051,165798.67,438100,519650.33,0,0,0,0,0,2009/10/9,0
3850,106951,165048.67,436300,525250.33,0,0,0,0,0,2009/10/10,0
3700,107801,164348.67,433750,531500.33,0,0,0,0,0,2009/10/11,0
7950,106401,162298.67,430350,537000.33,0,0,0,0,0,2009/10/12,0
2850,111201,162198.67,427900,542700.33,0,0,0,0,0,2009/10/13,0
3450,110551,163748.67,424350,548200.33,0,0,0,0,0,2009/10/14,0
3550,112001,162498.67,421650,554150.33,0,0,0,0,0,2009/10/15,0
12700,102750,163499.67,418150,559750.33,0,0,0,0,0,2009/10/16,0
2850,106550,172199.67,412100,566000.33,0,0,0,0,0,2009/10/17,0
4050,105450,172649.67,408950,572300.33,0,0,0,0,0,2009/10/18,0
5600,106050,166899.53,406650.14,583800.33,0,0,0,0,0,2009/10/19,0
9799.88,102950,166649.65,404750.14,589600.33,0,0,0,0,0,2009/10/20,0
4899.76,108250.12,167349.65,402050.14,595200.33,0,0,0,0,0,2009/10/21,0
16450,98449.88,166649.65,402000.14,598700.33,0,0,0,0,0,2009/10/22,0
4450,113199.88,164899.65,400000.14,604150.33,0,0,0,0,0,2009/10/23,0
15350,101549.88,167349.65,395850.14,609700.33,0,0,0,0,0,2009/10/24,0
3800,111999.88,171599.65,390250.14,615950.33,0,0,0,0,0,2009/10/25,0
3550,111649.88,172299.65,388550.14,621100.33,0,0,0,0,0,2009/10/26,0
16200,98599.88,174299.65,384600.14,626650.33,0,0,0,0,0,2009/10/27,0
3300,111049.88,177249.65,378400.14,633650.33,0,0,0,0,0,2009/10/28,0
4350,106799.88,182249.65,372750.14,639800.33,0,0,0,0,0,2009/10/29,0
3000,107349.88,185399.65,367900.14,645300.33,0,0,0,0,0,2009/10/30,0
2300,106699.88,188099.65,362250.14,651900.33,0,0,0,0,0,2009/10/31,0
1250,105399.88,191049.65,357800.14,657000.33,0,0,0,0,0,2009/11/1,0
1650,104549.88,192799.65,350600.14,664550.33,0,0,0,0,0,2009/11/2,0
3100,104249.88,190949.65,347350.14,671600.33,0,0,0,0,0,2009/11/3,0
18650,89599.88,189199.65,344800.14,678150.33,0,0,0,0,0,2009/11/4,0
2850,106749.88,186649.65,342750.14,684250.33,0,0,0,0,0,2009/11/5,0
3100,107299.88,180049.65,346350.14,689550.33,0,0,0,0,0,2009/11/6,0
3450,107599.88,179099.65,346350.14,693300.33,0,0,0,0,0,2009/11/7,0
3650,107799.88,177849.65,346700.14,697450.33,0,0,0,0,0,2009/11/8,0
3200,108149.88,177749.65,344050.14,703500.33,0,0,0,0,0,2009/11/9,0
3900,108549.88,177099.65,341000.14,710000.33,0,0,0,0,0,2009/11/10,0
21200,92049.88,176449.65,338499.13,715551.34,0,0,0,0,0,2009/11/11,0
3300,110999.88,174849.65,335349.13,722551.34,0,0,0,0,0,2009/11/12,0
4550,110999.88,174499.65,331649.13,729351.34,0,0,0,0,0,2009/11/13,0
3950,112549.88,176199.65,327299.13,735001.34,0,0,0,0,0,2009/11/14,0
4800,114149.88,177599.65,322099.13,741151.34,0,0,0,0,0,2009/11/15,0
4850,116749.88,178949.65,317249.13,746851.34,0,0,0,0,0,2009/11/16,0
4600,117999.88,182099.65,313649.13,750901.34,0,0,0,0,0,2009/11/17,0
3950,117449.88,186399.65,308999.13,756401.34,0,0,0,0,0,2009/11/18,0
26000,89749.76,194549.77,306099.13,760301.34,0,0,0,0,0,2009/11/19,0
4300,111250,198349.53,303899.13,763201.34,0,0,0,0,0,2009/11/20,0
3650,111500,202049.53,302699.13,764751.34,0,0,0,0,0,2009/11/21,0
5300,111150,205299.53,298699.13,769501.34,0,0,0,0,0,2009/11/22,0
4800,114000,206999.53,294249.13,774701.34,0,0,0,0,0,2009/11/23,0
4650,115600,207699.53,290749.13,780701.34,0,0,0,0,0,2009/11/24,0
4500,117300,206001,289647.66,786451.34,0,0,0,0,0,2009/11/25,0
4200,118800,207751,286297.66,791051.34,0,0,0,0,0,2009/11/26,0
3700,120150,207401,281497.66,799051.34,0,0,0,0,0,2009/11/27,0
3550,120400,207301,279997.66,804101.34,0,0,0,0,0,2009/11/28,0
3000,121300,206251,279297.66,808501.34,0,0,0,0,0,2009/11/29,0
3750,122550,204051,279997.65,811751.35,0,0,0,0,0,2009/11/30,0
13700,124400,197401,274947.65,815301.35,0,0,0,0,0,2009/12/1,0
4700,136650,195851,274397.65,818851.35,0,0,0,0,0,2009/12/2,0
4400,138600,195151,274597.65,822101.35,0,0,0,0,0,2009/12/3,0
1800,140200,195401,275647.65,823601.35,0,0,0,0,0,2009/12/4,0
4100,138650,194701,277397.65,825001.35,0,0,0,0,0,2009/12/5,0
5250,139950,194201,279797.65,825801.35,0,0,0,0,0,2009/12/6,0
5600,142100,193951,279047.65,829901.35,0,0,0,0,0,2009/12/7,0
6750,143100,194101,277697.65,834201.35,0,0,0,0,0,2009/12/8,0
6950,144700,194401,276497.65,838101.35,0,0,0,0,0,2009/12/9,0
5200,148050,194951,275547.65,842101.35,0,0,0,0,0,2009/12/10,0
5600,150050,195201,274447.65,846151.35,0,0,0,0,0,2009/12/11,0
10700,147400,195401,273597.65,849851.35,0,0,0,0,0,2009/12/12,0
5700,154800,195651,273297.65,853201.35,0,0,0,0,0,2009/12/13,0
21642.35,140507.65,195701,272847.65,857051.35,0,0,0,0,0,2009/12/14,0
10959,152641,197751,271347.65,860551.35,0,0,0,0,0,2009/12/15,0
7650,158500,198900,270498.65,864501.35,0,0,0,0,0,2009/12/16,0
8700,162450,193749.88,275349.78,868250.34,0,0,0,0,0,2009/12/17,0
11250,168050,193299.88,274899.78,872250.34,0,0,0,0,0,2009/12/18,0
9950,153700,215499.88,274649.78,875850.34,0,0,0,0,0,2009/12/19,0
8750,159900,215599.88,274349.78,879800.34,0,0,0,0,0,2009/12/20,0
8800,165200,215799.88,270849.78,886500.34,0,0,0,0,0,2009/12/21,0
8100,169650,217449.88,270049.78,890000.34,0,0,0,0,0,2009/12/22,0
7700,174250,219249.88,267249.79,894500.33,0,0,0,0,0,2009/12/23,0
7700,178250,219099.88,266949.79,898650.33,0,0,0,0,0,2009/12/24,0
7500,181900,218549.88,267249.79,902900.33,0,0,0,0,0,2009/12/25,0
8700,186000,217899.88,267549.79,906650.33,0,0,0,0,0,2009/12/26,0
8600,191450,217299.88,269074.79,908725.33,0,0,0,0,0,2009/12/27,0
6850,197250,216349.88,269194.79,912355.33,0,0,0,0,0,2009/12/28,0
8550,201650,213299.88,270999.79,916050.33,0,0,0,0,0,2009/12/29,0
7050,207250,212549.88,271099.79,919650.33,0,0,0,0,0,2009/12/30,0
6900,200950,222299.88,270799.79,923550.33,0,0,0,0,0,2009/12/31,0
6700,203750,223249.88,270299.79,927100.33,0,0,0,0,0,2010/1/1,0
6300,207100,224499.88,268349.79,931150.33,0,0,0,0,0,2010/1/2,0
9300,212150,223849.88,266599.79,934750.33,50,0,0,0,0,2010/1/3,0
29854.35,197550,224695.53,264799.79,938800.33,50,0,0,0,0,2010/1/4,0
9900,224154.35,226445.53,263049.79,942050.33,50,0,0,0,0,2010/1/5,0
8150,230304.35,227945.53,261849.79,945500.33,50,0,0,0,0,2010/1/6,0
7700,234854.35,228795.53,260749.79,949350.33,50,0,0,0,0,2010/1/7,0
7650,239401.35,228748.53,260149.79,953150.33,50,0,0,0,0,2010/1/8,0
7550,243751.35,228798.53,259599.79,956300.33,700,0,0,0,0,2010/1/9,0
9500,246501.35,230848.53,258699.79,956900.33,3750,0,0,0,0,2010/1/10,0
7950,251601.35,233048.53,257549.79,955600.33,8400,0,0,0,0,2010/1/11,0
18700,252051.35,227598.53,256549.79,954061.33,13139,0,0,0,0,2010/1/12,0
8258,265555.35,229986.53,257349.79,950211.33,18939,0,0,0,0,2010/1/13,0
7555,263007.35,237437.53,257049.79,947750.33,24650,0,0,0,0,2010/1/14,0
7250.74,264411.61,241037.53,257299.79,943575.33,30925,0,0,0,0,2010/1/15,0
6501,263611.35,246637.53,259299.79,938525.33,36175,0,0,0,0,2010/1/16,0
6550,259162.35,254137.53,259599.79,936925.33,40925,0,0,0,0,2010/1/17,0
