,date,newborn,dead,WALE,-9,-7,-5,-3,-1,1,3,5,7,9,11
2502,2017-11-07,45619655.22886082,45605355.22886082,0.8198235747627308,44724788.189563,632000.9312832999,171092.57379717,47173.95146036,22465.111528740006,93.52762733,935.54392823,1602.01909046,224.83492472000003,4978.54565751,0.0
2503,2017-11-08,36086701.369051546,36072776.369051546,0.7179911197646566,35502703.1885481,354019.42514512,118105.27158743,72679.37493653,21835.08377782,282.3598218,1668.8893938299998,1078.44189113,404.33394978,0.0,0.0
2504,2017-11-09,40164385.19956832,40149835.19956832,0.4427724626967332,39612818.17232958,384157.28769985,114495.63949699,34076.534545490016,955.50126889,1440.0402769800005,365.88987679,1018.13633339,507.99774034999984,0.0,0.0
2505,2017-11-10,32817887.05290323,32801537.05290323,0.7477540971194836,32171371.04628747,480847.62584034,89914.7392433,43779.93632092,6785.2644606899985,4334.99498122,366.83079446,3857.4902359700013,279.12473886,0.0,0.0
2506,2017-11-11,30927402.11911662,30911802.11911662,0.8666274323197749,29835256.552482285,958264.57934497,84809.20157102,22786.31160255,8222.6057736,1113.98474403,24.5653593,1086.28717207,228.8683978,9.162669,0.0
2507,2017-11-12,35676555.364756964,35658680.36475696,0.5715483594403555,34953882.799108736,568694.86037962,95779.04303307002,21222.56454167,15250.66098758,178.05175941000005,433.62921732,2877.1354678700004,220.24791944000003,141.37234224,0.0
2508,2017-11-13,23978506.31996724,23964831.31996724,1.2412165175020833,23007436.57513969,642844.14909697,268417.0497028,32942.20917307,8951.650523419998,83.04216120999997,669.82554535,2986.25073886,500.56788587,0.0,0.0
2509,2017-11-14,25636041.74287529,25622341.74287529,0.4285357052901427,25153061.440248527,365271.54210659,85588.49011217,15876.32983872,788.55931882,183.77599702,138.33478501000002,1339.7456380999995,62.30394931,31.22088103,0.0
2510,2017-11-15,20859136.07434735,20846061.074347347,0.4948482825092052,20334409.275679886,429043.94135085,49744.47968864,27026.66566748,4494.8469355,103.1032298,224.72676976,922.61213722,91.42288822,0.0,0.0
2511,2017-11-16,26398589.41051884,26385713.62926884,1.032962221487373,25528800.57508937,671323.0251555,98584.60927999,66208.93429376997,13679.604935279998,33.3431286,3602.199168010003,2341.11492388,1027.6163966599997,112.60689778,0.0
2512,2017-11-17,22306137.08125233,22292387.081252333,0.8606069666641555,21648211.52559636,492616.22415876994,121389.15314628,20818.1001258,5848.812851199999,286.86593589999995,393.19155572,1801.10295086,1011.46675128,10.63818016,0.0
2513,2017-11-18,18081138.72680385,18065313.72680385,0.5325217219429779,17599729.23397133,400252.45338087,43870.89953408,17880.07723204,913.64235688,344.42888497,301.20023737,1711.36725509,112.42562338,197.99832784,0.0
2514,2017-11-19,17300101.43708511,17282701.43708511,1.5295199149577046,16662027.13595083,429268.94204028,100894.01949225,77655.36678998999,3392.57137525,5059.782941090001,2812.4687253,1146.04776896,437.17592688,7.92607428,0.0
2515,2017-11-20,17966338.67511846,17949463.67511846,1.873625498018962,17148847.178942014,526181.68556324,233254.05718282997,21755.883806240006,11455.295128949998,548.03237804,291.78031037,1339.4527342700005,5790.309072499998,0.0,0.0
